0,0.3204,0.32142
1,0.092946,0.10333
2,0.065446,0.084764
3,0.062013,0.084838
4,0.054588,0.079926
5,0.052359,0.081517
6,0.049965,0.080494
7,0.04897,0.082357
8,0.047056,0.083006
9,0.045551,0.082374
10,0.045204,0.08468
11,0.043781,0.084168
12,0.042511,0.084875
13,0.042416,0.085667
14,0.041008,0.086532
15,0.040305,0.085865
16,0.03988,0.087681
17,0.038712,0.08731
18,0.038561,0.088508
19,0.03755,0.08877
20,0.037159,0.089702
21,0.036724,0.089677
22,0.036371,0.091389
23,0.035986,0.090748
24,0.035297,0.091612
25,0.035176,0.091829
26,0.034746,0.092807
27,0.034504,0.092736
28,0.034137,0.093168
29,0.033793,0.094534
30,0.033322,0.094064
31,0.033439,0.096178
